profile_name,profile_url,post_text,post_date,reactions,comments,hashtags,hashtag_count,post_length,scraped_at
Unknown Profile,https://www.linkedin.com/in/archit-anand/,"IRIS’25 – Industry Academy Collider | Bio Innovation Edition 

Held on 17th April 2025, the inauguration of IRIS’25 at SRMIST began with an invocation and a welcome address that outlined the vision of the event and the role of collaboration between industry and academia.

Two MoUs were signed:
~ With, South Korea-based company for joint R&D, product development, and testing
~ With, an Indian firm for collaborative research and product development

Dignitaries Present:
- Prof., Vice Chancellor, SRMIST
- Dr., Registrar, SRMIST
- Dr. Nitin M Nagarkar, Pro Vice-Chancellor (MHS) In-charge
- Dr., Director, Directorate of Entrepreneurship and Innovation
- Mr., Managing Director, TICEL Biopark Ltd., Chennai
- Dr. K. Vijayaraghavan, Chairman,
- Dr. Kannappan Chettiar, Founder,
- Dr. Mohamed Adil A. A., Managing Director, Bangalore Bio-Innovation Centre

The event featured addresses that highlighted approaches to strengthen industry-academia engagement and strategies to bring research closer to application.","1d • 
 1 day ago • Visible to anyone on or off LinkedIn",49,0,,0,1012,2025-04-23 21:24:31
Unknown Profile,https://www.linkedin.com/in/archit-anand/,No text content,Unknown date,0,0,,0,15,2025-04-23 21:24:33
Unknown Profile,https://www.linkedin.com/in/archit-anand/,No text content,Unknown date,0,0,,0,15,2025-04-23 21:24:34
Unknown Profile,https://www.linkedin.com/in/archit-anand/,No text content,Unknown date,0,0,,0,15,2025-04-23 21:24:35
Unknown Profile,https://www.linkedin.com/in/archit-anand/,No text content,Unknown date,0,0,,0,15,2025-04-23 21:24:37
Unknown Profile,https://www.linkedin.com/in/archit-anand/,"RAEEUCCI 2025 | A Global Confluence of Minds 

The 4th International Conference on 'Recent Advances in Electrical, Electronics, Ubiquitous Communication, and Computational Intelligence (RAEEUCCI-2025)' was inaugurated on April 23, 2025, at SRMIST— setting the tone for three days of global academic exchange and technological foresight.

Organised by the Department of Electronics and Communication Engineering and technically co-sponsored by IEEE, the event brings together world-renowned experts, researchers, and innovators.

Dignitaries' presence:
- Prof., Vice Chancellor, SRMIST
- Dr. K. Vijayakumar, Chairperson, School of Electrical and Electronics Engineering
- Dr. M. Sangeetha, HoD, ECE, SRMIST
- Dr., Senior Principal Engineer,& Adjunct Professor,Bangalore
- Dr., Director,, Kanpur
- Prof. Stefan Adam,
- Dr., COO,,
- Prof. C. C. Wang,, Taiwan
- Dr., Assistant Professor, ECE, SRMIST

With academic energy in full flow, RAEEUCCI 2025 paves the way for meaningful collaborations and pioneering research. Let the innovation unfold!","4h • 
 4 hours ago • Visible to anyone on or off LinkedIn",31,0,,0,1041,2025-04-23 21:24:38
Unknown Profile,https://www.linkedin.com/in/archit-anand/,"Calling Innovators & Visionaries!

The Co. Innovation Centre at SRMIST, supported by IHFC - IIT Delhi - NMICPS - DST, invites proposals for Grand R&D Projects, Startups, and the READY Program in cutting-edge DeepTech domains such as AI/ML, IoT, Robotics, and allied technologies.

Submit your proposal by filling out the form:

Deadline: 23rd April 2025
Shortlist Announcement: 25th April 2025

For queries, contact:
T – 98943 82339
Co-Innovation Mentor, CiC-SRMIST","6d • 
 6 days ago • Visible to anyone on or off LinkedIn",45,3,,0,465,2025-04-23 21:24:39
Unknown Profile,https://www.linkedin.com/in/archit-anand/,"Milan Carnival 2025 concluded with vibrant performances and electrifying energy. 

The evening featured a compelling mime performance by The Dramatics Club on ‘War vs Education,’ a dynamic fashion show by The Fashion Club showcasing ‘Street Style – Denim Fashion,’ and an exhilarating DJ session with a mix of Hindi, Tamil, and Malayalam tracks.","3w • 
 3 weeks ago • Visible to anyone on or off LinkedIn",1021,5,,0,345,2025-04-23 21:24:41
Unknown Profile,https://www.linkedin.com/in/aarongolbin/,"RAEEUCCI 2025 | A Global Confluence of Minds 

The 4th International Conference on 'Recent Advances in Electrical, Electronics, Ubiquitous Communication, and Computational Intelligence (RAEEUCCI-2025)' was inaugurated on April 23, 2025, at SRMIST— setting the tone for three days of global academic exchange and technological foresight.

Organised by the Department of Electronics and Communication Engineering and technically co-sponsored by IEEE, the event brings together world-renowned experts, researchers, and innovators.

Dignitaries' presence:
- Prof., Vice Chancellor, SRMIST
- Dr. K. Vijayakumar, Chairperson, School of Electrical and Electronics Engineering
- Dr. M. Sangeetha, HoD, ECE, SRMIST
- Dr., Senior Principal Engineer,& Adjunct Professor,Bangalore
- Dr., Director,, Kanpur
- Prof. Stefan Adam,
- Dr., COO,,
- Prof. C. C. Wang,, Taiwan
- Dr., Assistant Professor, ECE, SRMIST

With academic energy in full flow, RAEEUCCI 2025 paves the way for meaningful collaborations and pioneering research. Let the innovation unfold!","4h • 
 4 hours ago • Visible to anyone on or off LinkedIn",31,0,,0,1041,2025-04-23 21:25:45
Unknown Profile,https://www.linkedin.com/in/aarongolbin/,No text content,Unknown date,0,0,,0,15,2025-04-23 21:25:46
Unknown Profile,https://www.linkedin.com/in/aarongolbin/,No text content,Unknown date,0,0,,0,15,2025-04-23 21:25:47
Unknown Profile,https://www.linkedin.com/in/aarongolbin/,No text content,Unknown date,0,0,,0,15,2025-04-23 21:25:48
Unknown Profile,https://www.linkedin.com/in/aarongolbin/,No text content,Unknown date,0,0,,0,15,2025-04-23 21:25:49
Unknown Profile,https://www.linkedin.com/in/aarongolbin/,"Calling Innovators & Visionaries!

The Co. Innovation Centre at SRMIST, supported by IHFC - IIT Delhi - NMICPS - DST, invites proposals for Grand R&D Projects, Startups, and the READY Program in cutting-edge DeepTech domains such as AI/ML, IoT, Robotics, and allied technologies.

Submit your proposal by filling out the form:

Deadline: 23rd April 2025
Shortlist Announcement: 25th April 2025

For queries, contact:
T – 98943 82339
Co-Innovation Mentor, CiC-SRMIST","6d • 
 6 days ago • Visible to anyone on or off LinkedIn",45,3,,0,465,2025-04-23 21:25:50
Unknown Profile,https://www.linkedin.com/in/aarongolbin/,"Milan Carnival 2025 concluded with vibrant performances and electrifying energy. 

The evening featured a compelling mime performance by The Dramatics Club on ‘War vs Education,’ a dynamic fashion show by The Fashion Club showcasing ‘Street Style – Denim Fashion,’ and an exhilarating DJ session with a mix of Hindi, Tamil, and Malayalam tracks.","3w • 
 3 weeks ago • Visible to anyone on or off LinkedIn",1021,5,,0,345,2025-04-23 21:25:51
Unknown Profile,https://www.linkedin.com/in/aarongolbin/,"A celebration of student creativity and problem-solving, the App Fair 2025 at the iOS Development Centre, SRMIST, brought to light app-based solutions addressing real-world challenges.

To know more, click the article given below.","2w • 
 2 weeks ago • Visible to anyone on or off LinkedIn",107,0,,0,230,2025-04-23 21:25:52
Unknown Profile,https://www.linkedin.com/in/robertsch%C3%B6ne/,No text content,Unknown date,0,0,,0,15,2025-04-23 21:26:58
Unknown Profile,https://www.linkedin.com/in/robertsch%C3%B6ne/,No text content,Unknown date,0,0,,0,15,2025-04-23 21:26:59
Unknown Profile,https://www.linkedin.com/in/robertsch%C3%B6ne/,No text content,Unknown date,0,0,,0,15,2025-04-23 21:27:01
Unknown Profile,https://www.linkedin.com/in/robertsch%C3%B6ne/,No text content,Unknown date,0,0,,0,15,2025-04-23 21:27:02
Unknown Profile,https://www.linkedin.com/in/robertsch%C3%B6ne/,"Calling Innovators & Visionaries!

The Co. Innovation Centre at SRMIST, supported by IHFC - IIT Delhi - NMICPS - DST, invites proposals for Grand R&D Projects, Startups, and the READY Program in cutting-edge DeepTech domains such as AI/ML, IoT, Robotics, and allied technologies.

Submit your proposal by filling out the form:

Deadline: 23rd April 2025
Shortlist Announcement: 25th April 2025

For queries, contact:
T – 98943 82339
Co-Innovation Mentor, CiC-SRMIST","6d • 
 6 days ago • Visible to anyone on or off LinkedIn",45,3,,0,465,2025-04-23 21:27:04
Unknown Profile,https://www.linkedin.com/in/robertsch%C3%B6ne/,"Milan Carnival 2025 concluded with vibrant performances and electrifying energy. 

The evening featured a compelling mime performance by The Dramatics Club on ‘War vs Education,’ a dynamic fashion show by The Fashion Club showcasing ‘Street Style – Denim Fashion,’ and an exhilarating DJ session with a mix of Hindi, Tamil, and Malayalam tracks.","3w • 
 3 weeks ago • Visible to anyone on or off LinkedIn",1021,5,,0,345,2025-04-23 21:27:05
Unknown Profile,https://www.linkedin.com/in/jaspar-carmichael-jack/,No text content,Unknown date,0,0,,0,15,2025-04-23 21:28:15
Unknown Profile,https://www.linkedin.com/in/jaspar-carmichael-jack/,No text content,Unknown date,0,0,,0,15,2025-04-23 21:28:17
Unknown Profile,https://www.linkedin.com/in/jaspar-carmichael-jack/,No text content,Unknown date,0,0,,0,15,2025-04-23 21:28:18
Unknown Profile,https://www.linkedin.com/in/jaspar-carmichael-jack/,No text content,Unknown date,0,0,,0,15,2025-04-23 21:28:19
Unknown Profile,https://www.linkedin.com/in/jaspar-carmichael-jack/,"Calling Innovators & Visionaries!

The Co. Innovation Centre at SRMIST, supported by IHFC - IIT Delhi - NMICPS - DST, invites proposals for Grand R&D Projects, Startups, and the READY Program in cutting-edge DeepTech domains such as AI/ML, IoT, Robotics, and allied technologies.

Submit your proposal by filling out the form:

Deadline: 23rd April 2025
Shortlist Announcement: 25th April 2025

For queries, contact:
T – 98943 82339
Co-Innovation Mentor, CiC-SRMIST","6d • 
 6 days ago • Visible to anyone on or off LinkedIn",45,3,,0,465,2025-04-23 21:28:20
Unknown Profile,https://www.linkedin.com/in/jaspar-carmichael-jack/,"Milan Carnival 2025 concluded with vibrant performances and electrifying energy. 

The evening featured a compelling mime performance by The Dramatics Club on ‘War vs Education,’ a dynamic fashion show by The Fashion Club showcasing ‘Street Style – Denim Fashion,’ and an exhilarating DJ session with a mix of Hindi, Tamil, and Malayalam tracks.","3w • 
 3 weeks ago • Visible to anyone on or off LinkedIn",1021,5,,0,345,2025-04-23 21:28:21
